Value of K,SSE,Runtime,Timestamp,Size of each cluster
5,3230.147,12.7351,2026-04-26 22:35:51,1: 1938 tweets; 2: 982 tweets; 3: 250 tweets; 4: 252 tweets; 5: 306 tweets
10,3119.8798,5.6972,2026-04-26 22:35:57,1: 1211 tweets; 2: 434 tweets; 3: 227 tweets; 4: 209 tweets; 5: 348 tweets; 6: 382 tweets; 7: 96 tweets; 8: 182 tweets; 9: 23 tweets; 10: 616 tweets
15,3074.4305,4.7466,2026-04-26 22:36:02,1: 954 tweets; 2: 624 tweets; 3: 227 tweets; 4: 171 tweets; 5: 367 tweets; 6: 294 tweets; 7: 80 tweets; 8: 108 tweets; 9: 16 tweets; 10: 448 tweets; 11: 15 tweets; 12: 97 tweets; 13: 174 tweets; 14: 114 tweets; 15: 39 tweets
20,3048.9141,5.8073,2026-04-26 22:36:07,1: 831 tweets; 2: 390 tweets; 3: 108 tweets; 4: 188 tweets; 5: 253 tweets; 6: 285 tweets; 7: 70 tweets; 8: 77 tweets; 9: 20 tweets; 10: 263 tweets; 11: 14 tweets; 12: 105 tweets; 13: 183 tweets; 14: 116 tweets; 15: 31 tweets; 16: 44 tweets; 17: 600 tweets; 18: 80 tweets; 19: 46 tweets; 20: 24 tweets
25,3017.9577,3.2161,2026-04-26 22:36:11,1: 369 tweets; 2: 326 tweets; 3: 109 tweets; 4: 121 tweets; 5: 47 tweets; 6: 252 tweets; 7: 45 tweets; 8: 79 tweets; 9: 18 tweets; 10: 353 tweets; 11: 12 tweets; 12: 95 tweets; 13: 190 tweets; 14: 106 tweets; 15: 26 tweets; 16: 50 tweets; 17: 190 tweets; 18: 83 tweets; 19: 26 tweets; 20: 21 tweets; 21: 234 tweets; 22: 450 tweets; 23: 110 tweets; 24: 8 tweets; 25: 408 tweets
