Value of K,SSE,Runtime,Timestamp,Cluster Size
5,6151.7894,75.4358,2026-04-27 11:03:49,1: 3174 tweets; 2: 1209 tweets; 3: 1120 tweets; 4: 150 tweets; 5: 1997 tweets
10,6049.055,58.7917,2026-04-27 11:04:48,1: 1458 tweets; 2: 107 tweets; 3: 1596 tweets; 4: 119 tweets; 5: 575 tweets; 6: 1112 tweets; 7: 580 tweets; 8: 590 tweets; 9: 671 tweets; 10: 842 tweets
15,5991.1763,34.4625,2026-04-27 11:05:23,1: 1181 tweets; 2: 1147 tweets; 3: 162 tweets; 4: 95 tweets; 5: 363 tweets; 6: 406 tweets; 7: 681 tweets; 8: 531 tweets; 9: 498 tweets; 10: 91 tweets; 11: 219 tweets; 12: 487 tweets; 13: 1144 tweets; 14: 356 tweets; 15: 289 tweets
20,5885.0365,15.1164,2026-04-27 11:05:38,1: 944 tweets; 2: 189 tweets; 3: 185 tweets; 4: 91 tweets; 5: 411 tweets; 6: 421 tweets; 7: 686 tweets; 8: 417 tweets; 9: 407 tweets; 10: 74 tweets; 11: 218 tweets; 12: 463 tweets; 13: 916 tweets; 14: 249 tweets; 15: 264 tweets; 16: 412 tweets; 17: 425 tweets; 18: 83 tweets; 19: 351 tweets; 20: 444 tweets
25,5814.0525,13.9307,2026-04-27 11:05:52,1: 775 tweets; 2: 133 tweets; 3: 157 tweets; 4: 73 tweets; 5: 324 tweets; 6: 365 tweets; 7: 486 tweets; 8: 378 tweets; 9: 316 tweets; 10: 73 tweets; 11: 168 tweets; 12: 389 tweets; 13: 822 tweets; 14: 170 tweets; 15: 257 tweets; 16: 90 tweets; 17: 344 tweets; 18: 316 tweets; 19: 285 tweets; 20: 413 tweets; 21: 391 tweets; 22: 80 tweets; 23: 389 tweets; 24: 185 tweets; 25: 271 tweets
