Value of K,SSE,Runtime,Timestamp,Size of each cluster
5,3373.2723,28.2642,2026-04-26 22:44:46,1: 2291 tweets; 2: 687 tweets; 3: 523 tweets; 4: 194 tweets; 5: 233 tweets
10,3226.2963,10.3053,2026-04-26 22:44:57,1: 1544 tweets; 2: 276 tweets; 3: 801 tweets; 4: 104 tweets; 5: 197 tweets; 6: 392 tweets; 7: 227 tweets; 8: 194 tweets; 9: 57 tweets; 10: 136 tweets
15,3179.0336,9.2854,2026-04-26 22:45:06,1: 1506 tweets; 2: 258 tweets; 3: 541 tweets; 4: 28 tweets; 5: 188 tweets; 6: 367 tweets; 7: 220 tweets; 8: 175 tweets; 9: 50 tweets; 10: 121 tweets; 11: 308 tweets; 12: 28 tweets; 13: 61 tweets; 14: 14 tweets; 15: 63 tweets
20,3123.2813,8.0257,2026-04-26 22:45:14,1: 1384 tweets; 2: 244 tweets; 3: 12 tweets; 4: 28 tweets; 5: 185 tweets; 6: 316 tweets; 7: 204 tweets; 8: 87 tweets; 9: 43 tweets; 10: 55 tweets; 11: 170 tweets; 12: 27 tweets; 13: 53 tweets; 14: 14 tweets; 15: 57 tweets; 16: 88 tweets; 17: 226 tweets; 18: 34 tweets; 19: 432 tweets; 20: 269 tweets
25,3062.2597,6.2018,2026-04-26 22:45:20,1: 1137 tweets; 2: 234 tweets; 3: 12 tweets; 4: 25 tweets; 5: 180 tweets; 6: 153 tweets; 7: 56 tweets; 8: 85 tweets; 9: 42 tweets; 10: 51 tweets; 11: 165 tweets; 12: 27 tweets; 13: 114 tweets; 14: 13 tweets; 15: 45 tweets; 16: 84 tweets; 17: 217 tweets; 18: 32 tweets; 19: 405 tweets; 20: 247 tweets; 21: 229 tweets; 22: 70 tweets; 23: 208 tweets; 24: 51 tweets; 25: 46 tweets
