Value of K,SSE,Runtime,Timestamp,Size of each cluster
5,3222.5123,13.858,2026-04-23 21:56:37,1: 1634 tweets; 2: 1049 tweets; 3: 134 tweets; 4: 444 tweets; 5: 480 tweets
10,3130.4262,14.1966,2026-04-23 21:56:51,1: 601 tweets; 2: 419 tweets; 3: 107 tweets; 4: 83 tweets; 5: 822 tweets; 6: 240 tweets; 7: 604 tweets; 8: 176 tweets; 9: 149 tweets; 10: 540 tweets
15,3067.6251,8.936,2026-04-23 21:57:00,1: 443 tweets; 2: 393 tweets; 3: 83 tweets; 4: 200 tweets; 5: 333 tweets; 6: 256 tweets; 7: 500 tweets; 8: 126 tweets; 9: 125 tweets; 10: 492 tweets; 11: 55 tweets; 12: 218 tweets; 13: 424 tweets; 14: 46 tweets; 15: 47 tweets
20,3068.4454,11.223,2026-04-23 21:57:11,1: 435 tweets; 2: 500 tweets; 3: 79 tweets; 4: 63 tweets; 5: 370 tweets; 6: 276 tweets; 7: 604 tweets; 8: 110 tweets; 9: 123 tweets; 10: 67 tweets; 11: 68 tweets; 12: 122 tweets; 13: 452 tweets; 14: 74 tweets; 15: 33 tweets; 16: 201 tweets; 17: 13 tweets; 18: 64 tweets; 19: 37 tweets; 20: 50 tweets
25,3003.5716,7.8859,2026-04-23 21:57:19,1: 396 tweets; 2: 409 tweets; 3: 71 tweets; 4: 56 tweets; 5: 381 tweets; 6: 94 tweets; 7: 74 tweets; 8: 82 tweets; 9: 103 tweets; 10: 31 tweets; 11: 53 tweets; 12: 91 tweets; 13: 371 tweets; 14: 63 tweets; 15: 32 tweets; 16: 75 tweets; 17: 13 tweets; 18: 69 tweets; 19: 37 tweets; 20: 50 tweets; 21: 137 tweets; 22: 292 tweets; 23: 122 tweets; 24: 400 tweets; 25: 239 tweets
