k,sse,sse_per_tweet,iterations,init_strategy,init_trials,best_init_seed,best_init_strategy,mean_trial_sse,std_trial_sse,min_cluster_size,max_cluster_size,empty_clusters,imbalance_ratio,cluster_sizes
5,3332.977468,0.848302,3,hybrid,6,42,random,3358.678972,24.860695,200,1916,0,9.580000,1916;551;877;385;200
10,3157.881603,0.803737,3,hybrid,6,53,random,3214.303047,30.794201,127,1275,0,10.039370,1275;568;214;400;199;263;325;127;310;248
15,3124.000670,0.795113,3,hybrid,6,49,kmedoids++,3200.178067,41.068492,49,1118,0,22.816327,1118;322;419;248;49;132;180;256;268;105;309;87;58;269;109
20,3069.226439,0.781172,3,hybrid,6,45,random,3107.899394,23.968294,22,926,0,42.090909,926;280;73;22;196;26;79;46;321;91;31;264;524;26;135;253;223;142;195;76
25,3035.277464,0.772532,6,hybrid,6,46,random,3051.371334,17.198704,19,883,0,46.473684,883;292;63;85;304;48;276;311;32;420;116;68;57;60;167;49;121;151;55;70;54;19;120;31;77
