K,SSE,SSE_per_Tweet,Iterations,Max_Size,Min_Size,Ratio
5,3366.0704,0.8567,2,1959,75,26.12
10,3266.1248,0.8313,3,1696,5,339.2
15,3111.1776,0.7918,3,1030,43,23.95
20,3087.4802,0.7858,2,933,20,46.65
25,3069.0667,0.7811,2,796,10,79.6
