K,SSE,SSE_per_Tweet,Iterations,Max_Size,Min_Size,Ratio
5,6285.635,0.7994,2,2991,848,3.53
10,6025.9306,0.7664,2,1459,399,3.66
15,6073.562,0.7724,4,1442,71,20.31
20,6000.9759,0.7632,3,802,54,14.85
25,5906.1279,0.7511,3,776,43,18.05
