K,SSE,SSE_per_Tweet,Iterations,Max_Size,Min_Size,Ratio
5,3328.1675,0.8471,2,2017,122,16.53
10,3287.3295,0.8367,4,1794,19,94.42
15,3119.2798,0.7939,4,1153,39,29.56
20,3093.2006,0.7873,4,1191,4,297.75
25,3065.4815,0.7802,3,690,6,115.0
