Value of K,SSE,Size of each cluster
5,3332.977468,1: 1916 tweets; 2: 551 tweets; 3: 877 tweets; 4: 385 tweets; 5: 200 tweets
10,3232.049089,1: 1607 tweets; 2: 104 tweets; 3: 647 tweets; 4: 406 tweets; 5: 260 tweets; 6: 630 tweets; 7: 63 tweets; 8: 88 tweets; 9: 100 tweets; 10: 24 tweets
15,3195.239695,1: 1355 tweets; 2: 125 tweets; 3: 54 tweets; 4: 268 tweets; 5: 378 tweets; 6: 49 tweets; 7: 332 tweets; 8: 514 tweets; 9: 90 tweets; 10: 117 tweets; 11: 128 tweets; 12: 35 tweets; 13: 141 tweets; 14: 307 tweets; 15: 36 tweets
20,3069.226439,1: 926 tweets; 2: 280 tweets; 3: 73 tweets; 4: 22 tweets; 5: 196 tweets; 6: 26 tweets; 7: 79 tweets; 8: 46 tweets; 9: 321 tweets; 10: 91 tweets; 11: 31 tweets; 12: 264 tweets; 13: 524 tweets; 14: 26 tweets; 15: 135 tweets; 16: 253 tweets; 17: 223 tweets; 18: 142 tweets; 19: 195 tweets; 20: 76 tweets
25,3035.277464,1: 883 tweets; 2: 292 tweets; 3: 63 tweets; 4: 85 tweets; 5: 304 tweets; 6: 48 tweets; 7: 276 tweets; 8: 311 tweets; 9: 32 tweets; 10: 420 tweets; 11: 116 tweets; 12: 68 tweets; 13: 57 tweets; 14: 60 tweets; 15: 167 tweets; 16: 49 tweets; 17: 121 tweets; 18: 151 tweets; 19: 55 tweets; 20: 70 tweets; 21: 54 tweets; 22: 19 tweets; 23: 120 tweets; 24: 31 tweets; 25: 77 tweets
