k,sse,sse_per_tweet,iterations,min_cluster_size,max_cluster_size,empty_clusters,imbalance_ratio,cluster_sizes
5,3332.977468,0.848302,3,200,1916,0,9.580000,1916;551;877;385;200
10,3232.049089,0.822614,4,24,1607,0,66.958333,1607;104;647;406;260;630;63;88;100;24
15,3195.239695,0.813245,3,35,1355,0,38.714286,1355;125;54;268;378;49;332;514;90;117;128;35;141;307;36
20,3069.226439,0.781172,3,22,926,0,42.090909,926;280;73;22;196;26;79;46;321;91;31;264;524;26;135;253;223;142;195;76
25,3035.277464,0.772532,6,19,883,0,46.473684,883;292;63;85;304;48;276;311;32;420;116;68;57;60;167;49;121;151;55;70;54;19;120;31;77
