k,sse,sse_per_tweet,iterations,init_strategy,init_trials,best_init_seed,mean_trial_sse,std_trial_sse,min_cluster_size,max_cluster_size,empty_clusters,imbalance_ratio,cluster_sizes
5,3309.588343,0.842349,3,kmedoids++,2,43,3329.081752,19.493409,183,2062,0,11.267760,2062;523;543;618;183
10,3260.949970,0.829969,2,kmedoids++,2,45,3262.906819,1.956849,22,1624,0,73.818182,1624;347;196;520;395;22;303;182;46;294
15,3136.470192,0.798287,4,kmedoids++,2,47,3148.235826,11.765634,42,1197,0,28.500000,1197;318;60;454;395;72;139;62;182;312;73;149;329;42;145
20,3071.394958,0.781724,3,kmedoids++,2,48,3080.633107,9.238149,6,793,0,132.166667,793;477;139;128;390;6;56;165;209;53;90;66;113;264;78;77;228;264;158;175
25,3035.558477,0.772603,3,kmedoids++,2,51,3043.888854,8.330377,19,872,0,45.894737,872;124;237;162;83;128;327;42;100;197;98;32;33;267;80;57;93;44;46;500;19;179;106;30;73
